user_id,timestamp,nps_score,feedback_text
u0958,2025-03-06T03:54:33,8,Decent experience but could improve.
u0744,2025-03-25T17:33:36,6,"Too slow, buggy or hard to navigate."
u0390,2025-03-28T18:54:21,8,Decent experience but could improve.
u0542,2025-03-25T22:04:30,10,"Very smooth, fast, and intuitive!"
u0085,2025-03-09T00:11:40,6,"Too slow, buggy or hard to navigate."
u0068,2025-03-25T05:40:06,6,"Too slow, buggy or hard to navigate."
u0708,2025-03-23T13:40:26,10,"Very smooth, fast, and intuitive!"
u0102,2025-03-23T14:33:26,8,Decent experience but could improve.
u0925,2025-03-22T17:49:24,5,"Too slow, buggy or hard to navigate."
u0027,2025-03-22T14:43:18,8,Decent experience but could improve.
u0297,2025-03-11T10:07:41,5,"Too slow, buggy or hard to navigate."
u0074,2025-03-08T19:04:36,5,"Too slow, buggy or hard to navigate."
u0260,2025-03-17T11:55:29,7,Decent experience but could improve.
u0350,2025-03-07T18:28:51,2,"Too slow, buggy or hard to navigate."
u0717,2025-03-02T11:44:29,2,"Too slow, buggy or hard to navigate."
u0080,2025-03-07T07:22:33,5,"Too slow, buggy or hard to navigate."
u0463,2025-03-09T07:45:42,4,"Too slow, buggy or hard to navigate."
u0921,2025-03-05T13:41:14,7,Decent experience but could improve.
u0313,2025-03-11T23:34:25,4,"Too slow, buggy or hard to navigate."
u0601,2025-03-28T18:22:55,3,"Too slow, buggy or hard to navigate."
u0061,2025-03-18T06:48:11,10,"Very smooth, fast, and intuitive!"
u0423,2025-03-16T14:52:07,6,"Too slow, buggy or hard to navigate."
u0269,2025-03-17T19:26:42,7,Decent experience but could improve.
u0800,2025-03-04T12:46:53,3,"Too slow, buggy or hard to navigate."
u0677,2025-03-01T23:02:07,5,"Too slow, buggy or hard to navigate."
u0446,2025-03-18T18:14:46,7,Decent experience but could improve.
u0206,2025-03-12T01:49:52,4,"Too slow, buggy or hard to navigate."
u0362,2025-03-28T01:42:43,7,Decent experience but could improve.
u0971,2025-03-06T21:50:30,5,"Too slow, buggy or hard to navigate."
u0752,2025-03-20T22:31:59,6,"Too slow, buggy or hard to navigate."
u0857,2025-03-02T17:39:57,5,"Too slow, buggy or hard to navigate."
u0750,2025-03-15T15:09:09,10,"Very smooth, fast, and intuitive!"
u0087,2025-03-12T19:40:58,6,"Too slow, buggy or hard to navigate."
u0086,2025-03-05T19:25:47,4,"Too slow, buggy or hard to navigate."
u0293,2025-03-02T23:19:30,9,"Very smooth, fast, and intuitive!"
u0743,2025-03-15T05:18:04,3,"Too slow, buggy or hard to navigate."
u0710,2025-03-16T08:47:25,7,Decent experience but could improve.
u0011,2025-03-12T19:48:25,2,"Too slow, buggy or hard to navigate."
u0098,2025-03-14T16:05:50,3,"Too slow, buggy or hard to navigate."
u0615,2025-03-10T05:09:04,7,Decent experience but could improve.
u0053,2025-03-17T01:17:03,8,Decent experience but could improve.
u0533,2025-03-24T12:21:40,7,Decent experience but could improve.
u0853,2025-03-27T19:01:18,6,"Too slow, buggy or hard to navigate."
u0312,2025-03-17T15:49:48,6,"Too slow, buggy or hard to navigate."
u0897,2025-03-19T03:51:37,3,"Too slow, buggy or hard to navigate."
u0576,2025-03-11T01:10:03,5,"Too slow, buggy or hard to navigate."
u0934,2025-03-28T07:00:30,5,"Too slow, buggy or hard to navigate."
u0363,2025-03-01T20:41:15,9,"Very smooth, fast, and intuitive!"
u0220,2025-03-26T03:11:12,7,Decent experience but could improve.
u0637,2025-03-21T08:34:53,2,"Too slow, buggy or hard to navigate."
u0922,2025-03-16T03:00:36,7,Decent experience but could improve.
u0250,2025-03-24T06:06:38,6,"Too slow, buggy or hard to navigate."
u0066,2025-03-18T08:41:25,5,"Too slow, buggy or hard to navigate."
u0222,2025-03-16T22:08:14,8,Decent experience but could improve.
u0661,2025-03-02T01:37:56,9,"Very smooth, fast, and intuitive!"
u0574,2025-03-01T05:28:18,9,"Very smooth, fast, and intuitive!"
u0594,2025-03-16T06:51:51,4,"Too slow, buggy or hard to navigate."
u0324,2025-03-24T15:36:42,6,"Too slow, buggy or hard to navigate."
u0382,2025-03-27T08:08:12,7,Decent experience but could improve.
u0451,2025-03-26T16:46:52,9,"Very smooth, fast, and intuitive!"
u0082,2025-03-21T21:36:45,5,"Too slow, buggy or hard to navigate."
u0697,2025-03-30T08:05:44,6,"Too slow, buggy or hard to navigate."
u0479,2025-03-11T19:53:44,4,"Too slow, buggy or hard to navigate."
u0668,2025-03-25T21:05:31,4,"Too slow, buggy or hard to navigate."
u0612,2025-03-10T09:06:28,9,"Very smooth, fast, and intuitive!"
u0713,2025-03-22T03:19:02,10,"Very smooth, fast, and intuitive!"
u0957,2025-03-09T08:44:15,6,"Too slow, buggy or hard to navigate."
u0243,2025-03-15T05:36:36,9,"Very smooth, fast, and intuitive!"
u0422,2025-03-11T21:43:02,7,Decent experience but could improve.
u0347,2025-03-17T09:09:30,5,"Too slow, buggy or hard to navigate."
u0335,2025-03-19T10:05:22,7,Decent experience but could improve.
u0227,2025-03-25T03:58:54,10,"Very smooth, fast, and intuitive!"
u0141,2025-03-31T21:35:14,6,"Too slow, buggy or hard to navigate."
u0251,2025-03-05T04:52:54,10,"Very smooth, fast, and intuitive!"
u0153,2025-03-27T18:33:30,0,"Too slow, buggy or hard to navigate."
u0455,2025-03-19T05:11:09,9,"Very smooth, fast, and intuitive!"
u0235,2025-03-25T19:51:48,7,Decent experience but could improve.
u0200,2025-03-22T12:09:14,6,"Too slow, buggy or hard to navigate."
u0469,2025-03-24T01:09:05,7,Decent experience but could improve.
u0961,2025-03-31T06:22:04,2,"Too slow, buggy or hard to navigate."
u0124,2025-03-31T17:28:39,6,"Too slow, buggy or hard to navigate."
u0544,2025-03-30T10:01:31,7,Decent experience but could improve.
u0012,2025-03-24T21:41:11,10,"Very smooth, fast, and intuitive!"
u0187,2025-03-26T09:33:23,5,"Too slow, buggy or hard to navigate."
u0351,2025-03-02T15:01:40,4,"Too slow, buggy or hard to navigate."
u0847,2025-03-23T01:09:50,5,"Too slow, buggy or hard to navigate."
u0046,2025-03-13T16:19:55,9,"Very smooth, fast, and intuitive!"
u0645,2025-03-27T19:02:48,7,Decent experience but could improve.
u0885,2025-03-08T16:51:55,5,"Too slow, buggy or hard to navigate."
u0135,2025-03-27T01:36:22,8,Decent experience but could improve.
u0749,2025-03-08T22:31:01,7,Decent experience but could improve.
u0683,2025-03-07T22:07:30,9,"Very smooth, fast, and intuitive!"
u0158,2025-03-13T20:14:22,5,"Too slow, buggy or hard to navigate."
u0439,2025-03-16T15:07:56,6,"Too slow, buggy or hard to navigate."
u0406,2025-03-30T16:40:57,6,"Too slow, buggy or hard to navigate."
u0374,2025-03-04T06:20:53,3,"Too slow, buggy or hard to navigate."
u0145,2025-03-05T07:03:08,7,Decent experience but could improve.
u0553,2025-03-15T08:14:03,7,Decent experience but could improve.
u0667,2025-03-19T05:03:08,7,Decent experience but could improve.
u0866,2025-03-30T05:45:26,6,"Too slow, buggy or hard to navigate."
u0977,2025-03-02T07:37:00,3,"Too slow, buggy or hard to navigate."
u0175,2025-03-21T02:00:40,5,"Too slow, buggy or hard to navigate."
u0824,2025-03-15T13:34:45,6,"Too slow, buggy or hard to navigate."
u0413,2025-03-01T23:22:25,4,"Too slow, buggy or hard to navigate."
u0966,2025-03-12T17:20:43,6,"Too slow, buggy or hard to navigate."
u0912,2025-03-02T04:53:16,8,Decent experience but could improve.
u0560,2025-03-29T15:24:02,10,"Very smooth, fast, and intuitive!"
u0106,2025-03-27T15:31:16,7,Decent experience but could improve.
u0256,2025-03-02T17:11:07,7,Decent experience but could improve.
u0675,2025-03-29T20:33:27,6,"Too slow, buggy or hard to navigate."
u0122,2025-03-02T06:16:04,2,"Too slow, buggy or hard to navigate."
u0159,2025-03-20T19:02:14,6,"Too slow, buggy or hard to navigate."
u0854,2025-03-02T16:46:48,7,Decent experience but could improve.
u0152,2025-03-18T03:07:20,10,"Very smooth, fast, and intuitive!"
u0262,2025-03-06T02:54:27,6,"Too slow, buggy or hard to navigate."
u0223,2025-03-13T00:54:58,7,Decent experience but could improve.
u0016,2025-03-31T11:11:32,6,"Too slow, buggy or hard to navigate."
u0771,2025-03-26T21:14:34,4,"Too slow, buggy or hard to navigate."
u0646,2025-03-02T04:31:31,9,"Very smooth, fast, and intuitive!"
u0270,2025-03-26T20:27:21,8,Decent experience but could improve.
u0592,2025-03-21T21:20:05,8,Decent experience but could improve.
u0718,2025-03-29T05:58:02,4,"Too slow, buggy or hard to navigate."
